nome_empresa;cnpj;site;telefone;email;cidade;uf;segmento;segmento_busca;score;status_prosp;motivo_relevancia;gravado_em
"Mineração Itapeva (contato alternativo/confirmatório)";;https://www.mineracaoitapeva.com.br/;"55 (15) 3521-9550";contato@mineracaoitapeva.com.br;Itapeva;SP;"Mineração/produção de filito (operação com conteúdo e indicações de produção)";"mineração e minerais industriais";60;NOVO;"Reforço de operação industrial com canais diretos; incluída como lead complementar por alta aderência de mineração e contato visível.";"2026-04-06 13:44:15"
"Massari Mineração Participações LTDA";12.776.168/0002-53;https://www.massari.ind.br/contato/;"(15) 3491-9898";contato@massari.ind.br;"Salto de Pirapora";SP;"Mineração e beneficiamento de calcário (calcário e agregados)";"mineração e minerais industriais";83;NOVO;"Operação de mineração (calcário) com canal de contato direto para vendas/contato; potencial para big bags para armazenagem e logística de insumos/minerais.";"2026-04-06 13:44:15"
"Mineração Morro do Ipê S.A.";;https://www.ipemineracao.com/fale-conosco/;"0800 942 3135";;;MG;"Mineração de minério de ferro e processamento associado";"mineração e minerais industriais";70;NOVO;"Mineradora de grande porte no Quadrilátero Ferrífero; provável uso de big bags para manuseio/logística de minérios e concentrados, com contato disponível.";"2026-04-06 13:44:15"
"Porto Sudeste (ligado à Mineração Morro do Ipê)";;https://www.ipemineracao.com/en/contacts/become-a-supplier/;;;Itaguaí;MG;"Infraestrutura/terminal e logística para minério (cadeia de fornecimento da mineração)";"mineração e minerais industriais";62;NOVO;"Foco forte em logística e movimentação de minério; potencial comprador via cadeia de suprimentos. Score moderado porque não há telefone/e-mail e o UF/local pode ser da estrutura logística (não puramente mineração).";"2026-04-06 13:44:15"
"Mineração Itapeva";;https://www.mineracaoitapeva.com.br/contato/;"55 (15) 3521-9550";contato@mineracaoitapeva.com.br;Itapeva;SP;"Mineração/produção de filito com britagem e operação industrial";"mineração e minerais industriais";78;NOVO;"Operação industrial de mineração com contato direto (telefone e e-mail); excelente aderência para big bag em armazenagem/expedição de material a granel.";"2026-04-06 13:44:15"
"Mineração Astral Ltda";15.667.254/0001-35;https://mineracaoastral.com.br/institucional.html;"15 3521 7910";astral@mineracaoastral.com.br;Itapeva;SP;"Mineração com instalação própria de britagem (filito cerâmico)";"mineração e minerais industriais";74;NOVO;"Mineradora com britagem própria e contato direto; tende a demandar soluções de acondicionamento/logística para materiais minerais.";"2026-04-06 13:44:15"
"Minérios Gerais Ltda";;https://www.mineriosgerais.com.br/contato.php;"55 11 4031 3448";vendas@mineriosgerais.com.br;"Bragança Paulista";SP;"Comercialização/indústria de minérios e materiais minerais (operador do setor)";"mineração e minerais industriais";66;NOVO;"Canal de vendas explícito para minérios; bom potencial de compra de big bags para movimentação/armazenagem de minerais.";"2026-04-06 13:44:15"
"Mineracao MG (Mineração MG)";;https://www.mineracaomg.com.br/contato;"(19) 3805-3669";vendas@mineracaomg.com.br;"Mogi Mirim";SP;"Mineração/industrialização de materiais minerais (contato comercial)";"mineração e minerais industriais";64;NOVO;"Contato comercial para mineração com e-mail de vendas; probabilidade de uso de big bags em fluxo industrial.";"2026-04-06 13:44:15"
"Mineração Longa Vida Ltda";49.541.550/0001-07;https://www.mineracaolongavida.com.br/contato.php;"+55 (15) 3524-4004";;Itapeva;SP;"Mineração (operação industrial com CNPJ e contato)";"mineração e minerais industriais";61;NOVO;"Mineradora com CNPJ e telefone; aderente para big bags em logística/armazenagem de minérios. Score reduzido por falta de e-mail visível.";"2026-04-06 13:44:15"
"Lazarotto Agronegócios (local/razão a confirmar)";91.511.469/0001-40;https://lazarotto.com.br/;;;Tapurah;MT;"Agronegócio / possível operação ligada a sementes (necessita confirmação de contato/estrutura de beneficiamento no site)";"sementes, cerealistas e armazenagem";61;NOVO;"Há CNPJ em fonte pública e vínculo com operação agrícola em MT; porém telefone/e-mail e aderência a beneficiamento/armazenagem com sacaria/big-bag precisam ser confirmados no site oficial.";"2026-04-06 13:43:56"
